state,num_districts,actual_stunting,actual_wasting,actual_underweight,predicted_stunting,predicted_wasting,predicted_underweight,sample_size
1,20,23.68,16.5,19.9,24.44,15.64,19.38,5335
2,12,29.17,13.95,22.44,28.33,14.64,22.46,2399
3,22,21.97,9.26,15.5,22.51,10.59,16.48,4887
4,1,21.84,8.62,18.97,21.09,9.26,18.21,156
5,13,24.34,10.64,16.95,26.21,12.58,19.73,3338
6,22,23.06,9.77,18.36,23.77,11.44,19.07,6024
7,11,25.8,9.41,18.84,23.75,9.6,17.92,2475
8,33,28.51,15.76,25.92,31.25,16.9,27.96,13149
9,75,34.21,14.76,28.52,32.49,15.09,28.11,30828
10,38,37.26,20.66,37.2,37.25,18.68,36.08,18293
11,4,21.46,8.66,10.66,22.55,9.65,11.47,530
12,20,24.5,11.8,13.05,27.59,12.12,14.92,5081
13,11,31.57,16.4,25.31,31.81,16.43,25.28,2838
14,9,22.57,9.3,12.67,24.98,10.42,13.32,2987
15,8,28.72,8.85,12.94,29.2,11.71,15.1,2259
16,8,30.18,16.5,24.86,32.45,16.97,26.26,1906
17,11,40.1,12.44,24.33,38.45,14.2,25.6,6133
18,33,32.47,18.36,29.82,33.09,17.88,29.74,9661
19,20,30.72,19.1,30.81,30.97,17.68,29.99,5152
20,24,35.57,19.93,36.47,36.07,18.23,36.04,8897
21,30,29.12,16.57,28.16,30.46,16.91,28.74,7798
22,27,31.29,16.42,30.0,32.4,17.31,30.39,7471
23,51,29.96,15.99,28.6,30.6,16.95,29.02,13957
24,33,34.65,22.83,37.23,33.41,20.87,35.89,8878
25,3,31.62,18.76,31.25,30.61,18.38,30.42,710
27,36,30.9,21.84,32.89,30.34,20.54,32.11,8393
28,13,26.5,13.52,25.45,26.79,14.51,25.83,2471
29,30,29.84,15.97,27.79,28.09,15.48,27.05,7214
30,2,24.62,17.26,21.26,23.14,15.3,20.69,340
31,1,28.26,16.3,25.36,25.19,12.85,20.06,251
32,14,21.52,13.69,18.08,21.65,13.38,18.22,2520
33,32,23.09,12.72,19.89,22.96,12.91,20.08,5890
34,4,27.52,10.42,19.31,25.42,11.58,19.11,712
35,3,22.42,16.43,27.82,22.8,15.4,26.76,413
36,31,28.1,18.17,28.76,28.22,17.15,28.5,6197
37,2,27.64,15.29,19.24,27.96,14.5,17.84,482
